,Company,Segment,Segment Description,text,Predicted
2076,aker carbon capture asa,Carbon capture technology,Develops carbon capture technology to enable industrial enterprises to reduce their carbon footprint.,aker carbon capture asa Carbon capture technology Develops carbon capture technology to enable industrial enterprises to reduce their carbon footprint.,Environmental Services & Resources
441,brookline bancorp inc.,Wealth Management,"Provides financial planning, investment management, and trust services","brookline bancorp inc. Wealth Management Provides financial planning, investment management, and trust services",Not Applicable
2051,wolverine world wide inc.,Wolverine Michigan Group,"Designs, manufactures, sources, markets, licenses, and distributes branded casual, active lifestyle, work, outdoor sport, athletic, children's, and uniform footwear and apparel","wolverine world wide inc. Wolverine Michigan Group Designs, manufactures, sources, markets, licenses, and distributes branded casual, active lifestyle, work, outdoor sport, athletic, children's, and uniform footwear and apparel",Not Applicable
2541,inchcape plc,Distribution,"Distribution of vehicles, parts, and accessories for manufacturers including Toyota, BMW, Jaguar Land Rover, and others","inchcape plc Distribution Distribution of vehicles, parts, and accessories for manufacturers including Toyota, BMW, Jaguar Land Rover, and others",Not Applicable
1301,altra industrial motion corp.,Motors,"Manufactures electric motors including servo, AC induction, DC brushed, brushless DC, linear and stepper motors.","altra industrial motion corp. Motors Manufactures electric motors including servo, AC induction, DC brushed, brushless DC, linear and stepper motors.",Energy Management & Efficiency
3430,activision blizzard inc.,World of Warcraft,Massively multiplayer online role-playing game set in the Warcraft fantasy universe,activision blizzard inc. World of Warcraft Massively multiplayer online role-playing game set in the Warcraft fantasy universe,Not Applicable
1304,altra industrial motion corp.,Electromagnetic Clutches & Brakes,Provides electro-mechanical clutch and brake solutions for precision motor control.,altra industrial motion corp. Electromagnetic Clutches & Brakes Provides electro-mechanical clutch and brake solutions for precision motor control.,Transport Solutions
236,biontech se,mRNA vaccines,"mRNA-based vaccines for infectious diseases including COVID-19, flu, HIV, and cancer","biontech se mRNA vaccines mRNA-based vaccines for infectious diseases including COVID-19, flu, HIV, and cancer",Not Applicable
5648,cardiovascular systems inc.,Coronary Artery Disease,"Products to treat coronary artery disease, including orbital atherectomy systems and support devices.","cardiovascular systems inc. Coronary Artery Disease Products to treat coronary artery disease, including orbital atherectomy systems and support devices.",Not Applicable
2599,anpario plc,Animal Feed Additives,Develops and manufactures natural feed additives and eubiotics for the agricultural sector,anpario plc Animal Feed Additives Develops and manufactures natural feed additives and eubiotics for the agricultural sector,Sustainable Food & Agriculture
4616,kansas city life insurance company,Variable universal life insurance,"Offers variable universal life insurance products that provide policyholders the flexibility to structure the desired death benefit, as well as the premium payments and investment choices to meet their needs.","kansas city life insurance company Variable universal life insurance Offers variable universal life insurance products that provide policyholders the flexibility to structure the desired death benefit, as well as the premium payments and investment choices to meet their needs.",Not Applicable
2573,alfen n.v.,EV charging,"Produces electric vehicle charging equipment for public, semi-public, and private environments.","alfen n.v. EV charging Produces electric vehicle charging equipment for public, semi-public, and private environments.",Transport Solutions
3280,consolidated communications holdings inc.,Video Services,"Provides cable television, fiber connectivity, and streaming video services","consolidated communications holdings inc. Video Services Provides cable television, fiber connectivity, and streaming video services",Digital Infrastructure
3186,ambrx biopharma inc.,Site-Specific Conjugation Technology,Provides a site-specific conjugation technology to attach drugs to proteins at defined sites to create optimized biologics,ambrx biopharma inc. Site-Specific Conjugation Technology Provides a site-specific conjugation technology to attach drugs to proteins at defined sites to create optimized biologics,Not Applicable
3953,balchem corporation,Animal Nutrition & Health,"Develops, manufactures, and markets animal health and nutrition specialty products including choline chloride, VitaCholine brand choline, ReaShure, NitroShure, and other proprietary blends.","balchem corporation Animal Nutrition & Health Develops, manufactures, and markets animal health and nutrition specialty products including choline chloride, VitaCholine brand choline, ReaShure, NitroShure, and other proprietary blends.",Sustainable Food & Agriculture
2768,matson inc.,Terminal Operations,"Matson's Terminal Operations include container stevedoring, container equipment maintenance and other terminal services for Matson and other ocean carriers.","matson inc. Terminal Operations Matson's Terminal Operations include container stevedoring, container equipment maintenance and other terminal services for Matson and other ocean carriers.",Not Applicable
4831,the greenbrier companies inc.,Marine Barges,Designs and produces ocean-going marine barges.,the greenbrier companies inc. Marine Barges Designs and produces ocean-going marine barges.,Transport Solutions
4223,perdoceo education corporation,Trades,"Offers education programs in various trades, such as welding, HVAC, electrician training, and plumbing.","perdoceo education corporation Trades Offers education programs in various trades, such as welding, HVAC, electrician training, and plumbing.",Not Applicable
2106,landstar system inc.,Supply Chain Solutions,Provides supply chain management and logistics solutions,landstar system inc. Supply Chain Solutions Provides supply chain management and logistics solutions,Not Applicable
2679,grupo aeroportuario del centro norte s.a.b. de c.v.,Commercial Services,"Operates commercial areas at airports, including duty-free shops, food/beverage, retail stores, car rentals, etc.","grupo aeroportuario del centro norte s.a.b. de c.v. Commercial Services Operates commercial areas at airports, including duty-free shops, food/beverage, retail stores, car rentals, etc.",Not Applicable
2761,aerojet rocketdyne holdings inc.,Space Systems,"Designs, develops and manufactures propulsion systems for space, defense and armaments applications","aerojet rocketdyne holdings inc. Space Systems Designs, develops and manufactures propulsion systems for space, defense and armaments applications",Energy Management & Efficiency
4688,oceaneering international inc.,Asset Integrity,"Provides asset integrity management and assessment services to the oil and gas, petrochemical, and power generation industries.","oceaneering international inc. Asset Integrity Provides asset integrity management and assessment services to the oil and gas, petrochemical, and power generation industries.",Not Applicable
5399,apa group,Energy,Generates and supplies electricity through a portfolio of power plants,apa group Energy Generates and supplies electricity through a portfolio of power plants,Alternative Energy
1387,vse corporation,Federal Services,"Provides logistics, engineering, IT services, infrastructure maintenance/supply chain management to US government agencies including DoD and federal civilian agencies","vse corporation Federal Services Provides logistics, engineering, IT services, infrastructure maintenance/supply chain management to US government agencies including DoD and federal civilian agencies",Not Applicable
6357,agrana beteiligungs ag,Fruit,Manufactures fruit preparations and fruit juice concentrates,agrana beteiligungs ag Fruit Manufactures fruit preparations and fruit juice concentrates,Sustainable Food & Agriculture
6129,ies holdings inc.,Residential,Provides electrical contracting services for single-family housing and multi-family apartment complexes,ies holdings inc. Residential Provides electrical contracting services for single-family housing and multi-family apartment complexes,Not Applicable
6539,flagstar bancorp inc.,Third Party Servicing,"Subservicing residential mortgage loans for the U.S. Department of Housing and Urban Development, the U.S. Department of Veterans Affairs, and other third party institutions","flagstar bancorp inc. Third Party Servicing Subservicing residential mortgage loans for the U.S. Department of Housing and Urban Development, the U.S. Department of Veterans Affairs, and other third party institutions",Not Applicable
5000,aercap holdings n.v.,Parts Solutions,Provides aftermarket engine and airframe parts support,aercap holdings n.v. Parts Solutions Provides aftermarket engine and airframe parts support,Transport Solutions
1279,maple leaf foods inc.,Meat Products,"Manufactures and markets value-added meat products, including prepared meats, ready-to-cook and ready-to-serve meals, and value-added fresh pork and poultry products.","maple leaf foods inc. Meat Products Manufactures and markets value-added meat products, including prepared meats, ready-to-cook and ready-to-serve meals, and value-added fresh pork and poultry products.",Sustainable Food & Agriculture
6044,avid bioservices inc.,CGMP Manufacturing,"Offers CGMP manufacturing services for clinical and commercial biologics, including monoclonal antibodies, recombinant proteins, enzymes, fusion proteins, vaccines, and molecular diagnostics","avid bioservices inc. CGMP Manufacturing Offers CGMP manufacturing services for clinical and commercial biologics, including monoclonal antibodies, recombinant proteins, enzymes, fusion proteins, vaccines, and molecular diagnostics",Not Applicable
6640,atrion corporation,Contract Manufacturing,"Provides contract manufacturing services to medical device and healthcare companies. Capabilities include product design, prototyping, component manufacturing and assembly.","atrion corporation Contract Manufacturing Provides contract manufacturing services to medical device and healthcare companies. Capabilities include product design, prototyping, component manufacturing and assembly.",Not Applicable
1555,pitney bowes inc.,Presort Services,"Offers mail sortation services for First Class Mail, marketing mail and bound printed matter.","pitney bowes inc. Presort Services Offers mail sortation services for First Class Mail, marketing mail and bound printed matter.",Not Applicable
6124,cirrus logic inc.,Smart Codec,"Boost, Haptics & Sensing Solutions,Focus on smart codecs, haptic solutions, and MEMS microphones to create differentiated end user experiences","cirrus logic inc. Smart Codec Boost, Haptics & Sensing Solutions,Focus on smart codecs, haptic solutions, and MEMS microphones to create differentiated end user experiences",Not Applicable
3190,3m company,Safety and Industrial,"Provides personal safety products, such as respirators, hearing protection, fall protection equipment, and safety products for electrical and utility markets","3m company Safety and Industrial Provides personal safety products, such as respirators, hearing protection, fall protection equipment, and safety products for electrical and utility markets",Environmental Services & Resources
4566,brinker international inc.,Franchise,Franchise locations for Chili's and Maggiano's restaurants.,brinker international inc. Franchise Franchise locations for Chili's and Maggiano's restaurants.,Not Applicable
4802,allete inc.,Corporate and Other,"Includes BNI Coal, ALLETE Properties, NB Power, and corporate expenses not allocated to other","allete inc. Corporate and Other Includes BNI Coal, ALLETE Properties, NB Power, and corporate expenses not allocated to other",Not Applicable
6352,bath & body works inc.,Home Fragrance,"Provides home fragrances including room sprays, wallflowers, reed diffusers, essential oil diffusers, car fragrance and more.","bath & body works inc. Home Fragrance Provides home fragrances including room sprays, wallflowers, reed diffusers, essential oil diffusers, car fragrance and more.",Not Applicable
4841,aspen technology inc.,Asset Analytics,Uses predictive analytics and machine learning to optimize asset performance.,aspen technology inc. Asset Analytics Uses predictive analytics and machine learning to optimize asset performance.,Not Applicable
3594,advansix inc.,Nylon,"Manufactures and sells nylon 6 resin, chemical intermediates, and ammonium sulfate fertilizer","advansix inc. Nylon Manufactures and sells nylon 6 resin, chemical intermediates, and ammonium sulfate fertilizer",Water Infrastructure & Technologies
1920,ezcorp inc.,Real Estate,Owns and manages a portfolio of commercial real estate properties leased to tenants,ezcorp inc. Real Estate Owns and manages a portfolio of commercial real estate properties leased to tenants,Energy Management & Efficiency
513,revlon inc.,Skin Care,"Offers facial skincare, anti-aging creams, moisturizers, acne treatments, cleansers and other skincare products for the face and body","revlon inc. Skin Care Offers facial skincare, anti-aging creams, moisturizers, acne treatments, cleansers and other skincare products for the face and body",Not Applicable
4177,adobe inc.,Digital Media,"Products and services for creating, publishing and managing digital content, including Creative Cloud, Document Cloud and Experience Cloud.","adobe inc. Digital Media Products and services for creating, publishing and managing digital content, including Creative Cloud, Document Cloud and Experience Cloud.",Digital Infrastructure
1308,allegiant travel company,Ancillary revenue,"Generates revenue through sale of air travel related services such as baggage fees, seat assignments, food/beverages, etc.","allegiant travel company Ancillary revenue Generates revenue through sale of air travel related services such as baggage fees, seat assignments, food/beverages, etc.",Not Applicable
914,arbonia ag,Heating,"Ventilation, Air Conditioning,Produces heating, ventilation, and air conditioning products including radiators, fan coils, and ventilation systems","arbonia ag Heating Ventilation, Air Conditioning,Produces heating, ventilation, and air conditioning products including radiators, fan coils, and ventilation systems",Energy Management & Efficiency
3452,ig group holdings plc,Other services,"Provides execution-only stockbroking services, along with additional services like seminars and education for traders","ig group holdings plc Other services Provides execution-only stockbroking services, along with additional services like seminars and education for traders",Not Applicable
3695,antero midstream corporation,Gathering and Compression,"Provides midstream services for Antero Resources, including gathering and compression.","antero midstream corporation Gathering and Compression Provides midstream services for Antero Resources, including gathering and compression.",Not Applicable
4242,celularity inc.,Placental Cell Therapies,"Celularity develops placental cell-based therapies for cancer, autoimmune and degenerative diseases. Key products include CYNK-001 for glioblastoma and CYNK-101 for multiple sclerosis.","celularity inc. Placental Cell Therapies Celularity develops placental cell-based therapies for cancer, autoimmune and degenerative diseases. Key products include CYNK-001 for glioblastoma and CYNK-101 for multiple sclerosis.",Not Applicable
3156,collegium pharmaceutical inc.,Commercialization partnerships,"Collegium partners with other pharmaceutical companies to commercialize its products. For example, it has an agreement with Sandoz to commercialize the Nucynta products.","collegium pharmaceutical inc. Commercialization partnerships Collegium partners with other pharmaceutical companies to commercialize its products. For example, it has an agreement with Sandoz to commercialize the Nucynta products.",Not Applicable
2198,maximus inc.,U.S. Federal Services,"Supports government health and human services programs including Medicaid, Medicare, Children's Health Insurance Program, and the Affordable Care Act.","maximus inc. U.S. Federal Services Supports government health and human services programs including Medicaid, Medicare, Children's Health Insurance Program, and the Affordable Care Act.",Not Applicable
774,bandwidth inc.,Messaging Services,Enables application-to-person (A2P) messaging services for enterprises to communicate with customers via text messaging.,bandwidth inc. Messaging Services Enables application-to-person (A2P) messaging services for enterprises to communicate with customers via text messaging.,Digital Infrastructure
4425,bar harbor bankshares,Mortgage Lending,Originates residential mortgage loans which are often sold to secondary market investors,bar harbor bankshares Mortgage Lending Originates residential mortgage loans which are often sold to secondary market investors,Not Applicable
943,abbvie inc.,Eye Care,Restasis for chronic dry eye and other ophthalmic products,abbvie inc. Eye Care Restasis for chronic dry eye and other ophthalmic products,Not Applicable
822,owens corning,Composites,"Manufactures glass fiber used to reinforce composite materials for transportation, infrastructure, wind energy, marine, pipe and tank, electrical/electronic, aerospace, and other industrial applications","owens corning Composites Manufactures glass fiber used to reinforce composite materials for transportation, infrastructure, wind energy, marine, pipe and tank, electrical/electronic, aerospace, and other industrial applications",Energy Management & Efficiency
5005,builders firstsource inc.,Prefabricated Components,"Manufactures prefabricated components including floor trusses, roof trusses, wall panels, stairs, and engineered wood that are pre-designed and manufactured to meet custom specifications.","builders firstsource inc. Prefabricated Components Manufactures prefabricated components including floor trusses, roof trusses, wall panels, stairs, and engineered wood that are pre-designed and manufactured to meet custom specifications.",Not Applicable
4277,restaurant brands international inc.,Tim Hortons,"Operates and franchises quick service restaurants that serve premium coffee, doughnuts and other baked goods","restaurant brands international inc. Tim Hortons Operates and franchises quick service restaurants that serve premium coffee, doughnuts and other baked goods",Not Applicable
164,pearson plc,Virtual Schools,Operates online and blended virtual schools for K12 students in the US.,pearson plc Virtual Schools Operates online and blended virtual schools for K12 students in the US.,Not Applicable
4547,catalyst pharmaceuticals inc.,Corporate Operations,"Catalyst operates with a small corporate team of around 15 employees focused on commercialization, drug development, and licensing.","catalyst pharmaceuticals inc. Corporate Operations Catalyst operates with a small corporate team of around 15 employees focused on commercialization, drug development, and licensing.",Not Applicable
3983,lennox international inc.,Residential Controls,"Provides thermostats, sensors, carbon monoxide detectors, zoning systems and other controls for managing heating and cooling systems in homes. Enables remote monitoring and control.","lennox international inc. Residential Controls Provides thermostats, sensors, carbon monoxide detectors, zoning systems and other controls for managing heating and cooling systems in homes. Enables remote monitoring and control.",Energy Management & Efficiency
2538,hugo boss ag,HUGO Menswear,Trendy men's casualwear and accessories,hugo boss ag HUGO Menswear Trendy men's casualwear and accessories,Not Applicable
6463,fortive corp,Specialized Sensing,"Develops specialized sensor technologies for transportation and other markets, including pressure and temperature sensors and turbidity detection products","fortive corp Specialized Sensing Develops specialized sensor technologies for transportation and other markets, including pressure and temperature sensors and turbidity detection products",Energy Management & Efficiency
1311,cinedigm corp.,Theatrical Distribution,Acquires and distributes independent films to movie theaters.,cinedigm corp. Theatrical Distribution Acquires and distributes independent films to movie theaters.,Not Applicable
5207,spire healthcare group plc,International,"Provides healthcare services overseas through partnerships in Ireland and Bergen, Norway.","spire healthcare group plc International Provides healthcare services overseas through partnerships in Ireland and Bergen, Norway.",Not Applicable
6157,euronet worldwide inc.,epay Digital Media,Distributes prepaid mobile airtime and other electronic payment products and provides integrated support services to mobile operators.,euronet worldwide inc. epay Digital Media Distributes prepaid mobile airtime and other electronic payment products and provides integrated support services to mobile operators.,Digital Infrastructure
5383,bel fuse inc.,Stewart Connector,"Designs, manufactures and distributes high-performance interconnection systems primarily for military and aerospace applications","bel fuse inc. Stewart Connector Designs, manufactures and distributes high-performance interconnection systems primarily for military and aerospace applications",Energy Management & Efficiency
5650,cardiovascular systems inc.,Research and Development,Research and development of new products and technologies for treating vascular disease.,cardiovascular systems inc. Research and Development Research and development of new products and technologies for treating vascular disease.,Not Applicable
6286,the clorox company,Professional Products,"Supplies cleaning and disinfecting products for commercial, industrial, and healthcare customers. Brands include Clorox Healthcare and Clorox Commercial Solutions.","the clorox company Professional Products Supplies cleaning and disinfecting products for commercial, industrial, and healthcare customers. Brands include Clorox Healthcare and Clorox Commercial Solutions.",Energy Management & Efficiency
3300,getlink se,Europorte,Subsidiary that offers rail freight transport and logistics services in France.,getlink se Europorte Subsidiary that offers rail freight transport and logistics services in France.,Transport Solutions
3310,crh plc,Architectural Products,"Produces architectural concrete and clay products like pavers, roof tiles, bricks etc.","crh plc Architectural Products Produces architectural concrete and clay products like pavers, roof tiles, bricks etc.",Energy Management & Efficiency
327,american electric power company inc.,Corporate & Other,"Provides interest, tax, and holding company financing expenses not allocated to operating segments","american electric power company inc. Corporate & Other Provides interest, tax, and holding company financing expenses not allocated to operating segments",Not Applicable
2490,cpi card group inc.,Loyalty Cards,Produces custom loyalty and reward cards for brands,cpi card group inc. Loyalty Cards Produces custom loyalty and reward cards for brands,Not Applicable
6345,bath & body works inc.,Candles,"Manufactures and sells a variety of fragranced candles, including 3-wick candles, single-wick candles, travel-sized candles, candle holders and accessories.","bath & body works inc. Candles Manufactures and sells a variety of fragranced candles, including 3-wick candles, single-wick candles, travel-sized candles, candle holders and accessories.",Not Applicable
4408,clean harbors inc.,SK Environmental Services,"Provides a variety of environmental services including waste transportation, disposal, and recycling","clean harbors inc. SK Environmental Services Provides a variety of environmental services including waste transportation, disposal, and recycling",Resource Efficiency & Waste Management
832,clear channel outdoor holdings inc.,Americas,"Operates advertising displays in the U.S., Canada and Latin America including billboards, street furniture and transit displays.","clear channel outdoor holdings inc. Americas Operates advertising displays in the U.S., Canada and Latin America including billboards, street furniture and transit displays.",Not Applicable
3079,ter beke nv,Pies and Pastry Products,"Bakes and sells sweet and savoury pies,pastries,tarts,etc.","ter beke nv Pies and Pastry Products Bakes and sells sweet and savoury pies,pastries,tarts,etc.",Not Applicable
3462,apartment income reit corp.,Non-Core,Owns non-core assets including an active adult community and undeveloped land.,apartment income reit corp. Non-Core Owns non-core assets including an active adult community and undeveloped land.,Not Applicable
5297,greif inc.,Land Management,Manages timber properties in the south-eastern United States,greif inc. Land Management Manages timber properties in the south-eastern United States,Energy Management & Efficiency
5934,centerpoint energy inc.,Midstream Investments,"Owns and operates natural gas pipelines, natural gas storage and other midstream assets in Arkansas, Louisiana, Oklahoma and Texas","centerpoint energy inc. Midstream Investments Owns and operates natural gas pipelines, natural gas storage and other midstream assets in Arkansas, Louisiana, Oklahoma and Texas",Not Applicable
54,lawson inc.,Lawson Online Shopping,Operates online supermarkets that allow customers to order groceries and other products online and pick them up at Lawson stores,lawson inc. Lawson Online Shopping Operates online supermarkets that allow customers to order groceries and other products online and pick them up at Lawson stores,Not Applicable
4064,alphatec holdings inc.,Imaging,Provides intra-operative imaging systems and surgical navigation systems to assist spinal surgeries.,alphatec holdings inc. Imaging Provides intra-operative imaging systems and surgical navigation systems to assist spinal surgeries.,Not Applicable
3451,ig group holdings plc,Financial trading platforms,"Operates financial trading platforms for spread betting, CFD trading, forex trading, and stockbroking","ig group holdings plc Financial trading platforms Operates financial trading platforms for spread betting, CFD trading, forex trading, and stockbroking",Not Applicable
1901,golden entertainment inc.,Casinos,"Operates casinos, including The Strat in Las Vegas and PT's Taverns.","golden entertainment inc. Casinos Operates casinos, including The Strat in Las Vegas and PT's Taverns.",Not Applicable
1481,carrier global corporation,Fire & Security,"Fire detection and suppression systems,access control, video surveillance, solutions, service","carrier global corporation Fire & Security Fire detection and suppression systems,access control, video surveillance, solutions, service",Environmental Services & Resources
4873,neenah inc.,Fine Paper and Packaging,"Manufactures premium writing, text, cover, and specialty papers as well as customized paper packaging solutions","neenah inc. Fine Paper and Packaging Manufactures premium writing, text, cover, and specialty papers as well as customized paper packaging solutions",Resource Efficiency & Waste Management
4895,black hills corporation,Gas Utilities,"Distributes natural gas to approximately 1.1 million natural gas utility customers in Arkansas, Colorado, Iowa, Kansas, Montana, Nebraska, North Dakota and Wyoming","black hills corporation Gas Utilities Distributes natural gas to approximately 1.1 million natural gas utility customers in Arkansas, Colorado, Iowa, Kansas, Montana, Nebraska, North Dakota and Wyoming",Alternative Energy
4150,carnival corporation & plc,Transportation,Provides air and ground transportation services for cruise guests to/from home ports and during port of calls,carnival corporation & plc Transportation Provides air and ground transportation services for cruise guests to/from home ports and during port of calls,Transport Solutions
3335,cascades inc.,Away-From-Home Products,"Provides soap and hand sanitizing dispensers, washroom accessories, and industrial wiping solutions","cascades inc. Away-From-Home Products Provides soap and hand sanitizing dispensers, washroom accessories, and industrial wiping solutions",Not Applicable
4926,sgl carbon se,Process Technology,"Provides equipment and systems for the chemical, pharmaceutical, and food processing industries","sgl carbon se Process Technology Provides equipment and systems for the chemical, pharmaceutical, and food processing industries",Sustainable Food & Agriculture
946,amgen inc.,Bone health,"Products for preventing and treating bone loss and increasing bone mass, such as Prolia and Evenity. Also develops romosozumab for osteoporosis.","amgen inc. Bone health Products for preventing and treating bone loss and increasing bone mass, such as Prolia and Evenity. Also develops romosozumab for osteoporosis.",Not Applicable
3293,caremax inc.,Value-Based Care,Provides physician-led healthcare services and operates medical centers focused on senior patients through value-based care models.,caremax inc. Value-Based Care Provides physician-led healthcare services and operates medical centers focused on senior patients through value-based care models.,Not Applicable
2161,fifth third bancorp,Branch Banking,"Offers deposits, lending, and cash management services to individuals and small businesses","fifth third bancorp Branch Banking Offers deposits, lending, and cash management services to individuals and small businesses",Not Applicable
6562,chesapeake energy corporation,Oil and Natural Gas Marketing,Markets oil and natural gas on behalf of other interest owners in operated wells and on behalf of other producer working interest owners,chesapeake energy corporation Oil and Natural Gas Marketing Markets oil and natural gas on behalf of other interest owners in operated wells and on behalf of other producer working interest owners,Not Applicable
5083,alkami technology inc.,Fraud Protection,Offers fraud detection and prevention tools and analytics to help financial institutions identify and stop fraudulent transactions.,alkami technology inc. Fraud Protection Offers fraud detection and prevention tools and analytics to help financial institutions identify and stop fraudulent transactions.,Not Applicable
5737,mallinckrodt plc,Radiopharmaceuticals,"Manufactures and markets radiopharmaceuticals used in molecular imaging, therapeutic applications and clinical development. These are used with imaging equipment for purposes like identifying heart disease or studying brain function.","mallinckrodt plc Radiopharmaceuticals Manufactures and markets radiopharmaceuticals used in molecular imaging, therapeutic applications and clinical development. These are used with imaging equipment for purposes like identifying heart disease or studying brain function.",Not Applicable
3057,kingspan group plc,Insulation Boards,"Manufactures rigid insulation boards used in residential, commercial and industrial applications","kingspan group plc Insulation Boards Manufactures rigid insulation boards used in residential, commercial and industrial applications",Energy Management & Efficiency
768,next plc,Online,"NEXT Direct and Label businesses sell NEXT branded and third party clothing, footwear, accessories and home products online.","next plc Online NEXT Direct and Label businesses sell NEXT branded and third party clothing, footwear, accessories and home products online.",Not Applicable
6367,assetmark financial holdings inc.,Wealth Management,Provides investment advisory services to financial advisors who manage client accounts,assetmark financial holdings inc. Wealth Management Provides investment advisory services to financial advisors who manage client accounts,Not Applicable
3495,vonovia se,Recurrent Sales,Sells individual condominiums from its portfolio to generate funds for new investments.,vonovia se Recurrent Sales Sells individual condominiums from its portfolio to generate funds for new investments.,Energy Management & Efficiency
285,kao corporation,Prestige Cosmetics,"Develops and markets prestige cosmetic brands including Sofina, Molton Brown, est, RMK, and more.","kao corporation Prestige Cosmetics Develops and markets prestige cosmetic brands including Sofina, Molton Brown, est, RMK, and more.",Not Applicable
6697,china bohai bank co. ltd.,Other Banking Services,"Various banking services like bancassurance, financial leasing, asset custody etc.","china bohai bank co. ltd. Other Banking Services Various banking services like bancassurance, financial leasing, asset custody etc.",Not Applicable
4524,nuvasive inc.,Imaging and Navigation,"Offers intraoperative navigation systems, intraoperative imaging systems, and cranial software for surgical planning. This includes the Pulse platform for intraoperative imaging and navigation.","nuvasive inc. Imaging and Navigation Offers intraoperative navigation systems, intraoperative imaging systems, and cranial software for surgical planning. This includes the Pulse platform for intraoperative imaging and navigation.",Not Applicable
6023,matrix service company,Maintenance and Turnarounds,"Provides turnaround, maintenance and specialty services.","matrix service company Maintenance and Turnarounds Provides turnaround, maintenance and specialty services.",Energy Management & Efficiency
2332,domino's pizza inc.,International franchise,Franchises and operates Domino's Pizza stores internationally.,domino's pizza inc. International franchise Franchises and operates Domino's Pizza stores internationally.,Not Applicable
2717,douglas emmett inc.,Retail Space,Owns and operates street-front retail space integrated into office properties,douglas emmett inc. Retail Space Owns and operates street-front retail space integrated into office properties,Energy Management & Efficiency
2079,caledonia investments plc,Investments,"Caledonia is an investment trust, meaning it invests shareholders' money into a diversified portfolio of assets. Its main segments are equity investments, fund investments, and private equity.","caledonia investments plc Investments Caledonia is an investment trust, meaning it invests shareholders' money into a diversified portfolio of assets. Its main segments are equity investments, fund investments, and private equity.",Not Applicable
3389,alarm.com holdings inc.,Access Control,Offers smart access control systems and services that integrate with other smart devices.,alarm.com holdings inc. Access Control Offers smart access control systems and services that integrate with other smart devices.,Energy Management & Efficiency
722,close brothers group plc,Asset Management,Provides investment management services.,close brothers group plc Asset Management Provides investment management services.,Not Applicable
951,cvs health corporation,Retail/LTC,Operates retail pharmacies and long-term care pharmacies that fill prescriptions for prescription drugs and provides health care services. Also operates retail clinics.,cvs health corporation Retail/LTC Operates retail pharmacies and long-term care pharmacies that fill prescriptions for prescription drugs and provides health care services. Also operates retail clinics.,Not Applicable
5903,employers holdings inc.,Commercial Automobile Insurance,"Offers commercial automobile insurance products, including business auto insurance for small businesses.","employers holdings inc. Commercial Automobile Insurance Offers commercial automobile insurance products, including business auto insurance for small businesses.",Not Applicable
2262,ksb se & co. kgaa,Pumps and Valves,"Manufactures centrifugal pumps, mixers, valves, and related components for applications in building services, industry, water transport, waste water treatment, and power plant processes.","ksb se & co. kgaa Pumps and Valves Manufactures centrifugal pumps, mixers, valves, and related components for applications in building services, industry, water transport, waste water treatment, and power plant processes.",Water Infrastructure & Technologies
989,amcor plc,Flexible Packaging,"Manufactures flexible and rigid packaging products such as pouches, bags, cartons and containers. Used for food, beverage, pharmaceutical, medical, home and personal care, and other products.","amcor plc Flexible Packaging Manufactures flexible and rigid packaging products such as pouches, bags, cartons and containers. Used for food, beverage, pharmaceutical, medical, home and personal care, and other products.",Sustainable Food & Agriculture
3212,nautilus inc.,Retail sales,Sells fitness equipment and accessories directly to consumers through retail partners like Amazon and Dick's Sporting Goods and through its own ecommerce channels.,nautilus inc. Retail sales Sells fitness equipment and accessories directly to consumers through retail partners like Amazon and Dick's Sporting Goods and through its own ecommerce channels.,Not Applicable
1759,wesco international inc.,Industrial Automation & Control Solutions,"Supplies automation, control and robotics products, power transmission components, pneumatics, hydraulics, motors, etc.","wesco international inc. Industrial Automation & Control Solutions Supplies automation, control and robotics products, power transmission components, pneumatics, hydraulics, motors, etc.",Energy Management & Efficiency
5938,newell brands inc.,Baby & Parenting,"Manufactures and markets infant and juvenile products such as car seats, strollers, highchairs, swings and other durable nursery products under brands like Graco, Baby Jogger and Aprica.","newell brands inc. Baby & Parenting Manufactures and markets infant and juvenile products such as car seats, strollers, highchairs, swings and other durable nursery products under brands like Graco, Baby Jogger and Aprica.",Not Applicable
4422,bar harbor bankshares,Commercial Banking,"Provides banking services including loans, deposits, cash management, etc. to businesses of all sizes","bar harbor bankshares Commercial Banking Provides banking services including loans, deposits, cash management, etc. to businesses of all sizes",Not Applicable
5479,agilysys inc.,Hospitality Solutions,"Provides property management, point-of-sale, and other solutions for hotels, resorts, cruise lines, stadiums, and restaurants","agilysys inc. Hospitality Solutions Provides property management, point-of-sale, and other solutions for hotels, resorts, cruise lines, stadiums, and restaurants",Not Applicable
1724,alcoa corporation,Energy,"Generates energy, mainly hydroelectric, that supports ALCOA CORPORATION's metals production activities. Operates an extensive hydroelectric power generation system in Brazil.","alcoa corporation Energy Generates energy, mainly hydroelectric, that supports ALCOA CORPORATION's metals production activities. Operates an extensive hydroelectric power generation system in Brazil.",Alternative Energy
5182,international flavors & fragrances inc.,Cosmetic Active Ingredients,"Develops and produces cosmetic active ingredients that are used in skin care, hair care, sun care, and color cosmetic products.","international flavors & fragrances inc. Cosmetic Active Ingredients Develops and produces cosmetic active ingredients that are used in skin care, hair care, sun care, and color cosmetic products.",Not Applicable
